date,open,high,low,close,volume,symbol,daily_return,cumulative_return,equity_curve,daily_return_pct,cumulative_return_pct
2025-08-14,9200,9375,9150,9225,37491300,BREN,0.013736263736263687,-0.02638522427440726,973615,1.37,-2.64
2025-08-15,9275,9325,8700,8750,39895400,BREN,-0.051490514905149,-0.07651715039577922,923483,-5.15,-7.65
2025-08-19,8750,8925,8475,8575,30511700,BREN,-0.020000000000000018,-0.09498680738786369,905013,-2.0,-9.5
2025-08-20,8600,8750,8550,8600,15708700,BREN,0.00291545189504383,-0.09234828496042302,907652,0.29,-9.23
2025-08-21,8600,8600,8250,8425,23015500,BREN,-0.02034883720930236,-0.11081794195250749,889182,-2.03,-11.08
2025-08-22,8425,8575,8350,8525,18611300,BREN,0.011869436201780381,-0.10026385224274503,899736,1.19,-10.03
2025-08-25,8575,9050,8525,8925,27637600,BREN,0.04692082111436946,-0.05804749340369497,941953,4.69,-5.8
2025-08-26,8975,9100,8650,8875,37895200,BREN,-0.0056022408963585235,-0.0633245382585762,936675,-0.56,-6.33
2025-08-27,9000,9850,8950,9800,76579700,BREN,0.10422535211267614,0.03430079155672727,1034301,10.42,3.43
2025-08-28,9750,9850,9175,9300,50123200,BREN,-0.05102040816326525,-0.018469656992085248,981530,-5.1,-1.85
2025-08-29,9000,9425,8825,9025,51571200,BREN,-0.029569892473118253,-0.04749340369393218,952507,-2.96,-4.75
2025-09-01,8650,9125,8600,8950,48145300,BREN,-0.008310249307479256,-0.05540897097625408,944591,-0.83,-5.54
2025-09-02,9050,9100,8825,8825,27352000,BREN,-0.013966480446927387,-0.06860158311345721,931398,-1.4,-6.86
2025-09-03,8875,8925,8600,8600,30961700,BREN,-0.025495750708215303,-0.09234828496042291,907652,-2.55,-9.23
2025-09-04,8600,8725,8525,8625,15343800,BREN,0.0029069767441860517,-0.08970976253298224,910290,0.29,-8.97
2025-09-08,8675,8950,8550,8575,31595900,BREN,-0.005797101449275366,-0.09498680738786347,905013,-0.58,-9.5
2025-09-09,8600,8725,8250,8325,24691700,BREN,-0.029154518950437303,-0.12137203166226973,878628,-2.92,-12.14
2025-09-10,8525,8650,8350,8550,19395400,BREN,0.027027027027026973,-0.09762532981530414,902375,2.7,-9.76
2025-09-11,8600,8650,8400,8550,15391700,BREN,0.0,-0.09762532981530414,902375,0.0,-9.76
2025-09-12,8700,8850,8600,8650,16236100,BREN,0.011695906432748648,-0.08707124010554157,912929,1.17,-8.71
2025-09-15,8650,8950,8650,8875,19471400,BREN,0.026011560693641522,-0.06332453825857598,936675,2.6,-6.33
2025-09-16,9000,9050,8775,8875,11936400,BREN,0.0,-0.06332453825857598,936675,0.0,-6.33
2025-09-17,8875,9200,8775,8925,25326200,BREN,0.005633802816901401,-0.05804749340369475,941953,0.56,-5.8
2025-09-18,8950,9200,8900,9075,42983000,BREN,0.01680672268907557,-0.04221635883905106,957784,1.68,-4.22
2025-09-19,9125,9125,8800,9050,38933800,BREN,-0.0027548209366391463,-0.04485488126649173,955145,-0.28,-4.49
2025-09-22,9050,9050,8775,8925,30798500,BREN,-0.013812154696132617,-0.05804749340369486,941953,-1.38,-5.8
2025-09-23,8925,9200,8900,9025,29343200,BREN,0.011204481792717047,-0.0474934036939324,952507,1.12,-4.75
2025-09-24,9150,9400,8875,8875,57939000,BREN,-0.0166204986149584,-0.06332453825857609,936675,-1.66,-6.33
2025-09-25,8850,9100,8525,8800,33165700,BREN,-0.008450704225352101,-0.07124010554089799,928760,-0.85,-7.12
2025-09-26,9000,9300,8925,9025,35396100,BREN,0.02556818181818188,-0.04749340369393229,952507,2.56,-4.75
2025-09-29,9025,9950,8975,9675,102431800,BREN,0.07202216066481992,0.02110817941952403,1021108,7.2,2.11
2025-09-30,9800,9800,9275,9375,39361700,BREN,-0.03100775193798455,-0.01055408970976357,989446,-3.1,-1.06
2025-10-01,9425,9500,9150,9150,31562600,BREN,-0.02400000000000002,-0.03430079155672927,965699,-2.4,-3.43
2025-10-02,9175,9275,9025,9175,23891800,BREN,0.002732240437158362,-0.03166226912928871,968338,0.27,-3.17
2025-10-03,9375,9800,9350,9550,53213300,BREN,0.04087193460490468,0.00791556728232079,1007916,4.09,0.79
2025-10-06,9675,10150,9575,9975,67361900,BREN,0.04450261780104703,0.05277044854881141,1052770,4.45,5.28
2025-10-07,10150,10350,9900,9975,43961800,BREN,0.0,0.05277044854881141,1052770,0.0,5.28
2025-10-08,10050,10100,9300,9650,43227100,BREN,-0.03258145363408527,0.01846965699208325,1018470,-3.26,1.85
2025-10-09,9700,10075,9500,9875,38499900,BREN,0.023316062176165886,0.04221635883904895,1042216,2.33,4.22
2025-10-10,9900,9975,9650,9850,37198100,BREN,-0.0025316455696202667,0.03957783641160839,1039578,-0.25,3.96
2025-10-13,9600,10250,9575,9825,52095700,BREN,-0.0025380710659898,0.03693931398416783,1036939,-0.25,3.69
2025-10-14,9850,9900,9100,9675,47389000,BREN,-0.01526717557251911,0.02110817941952403,1021108,-1.53,2.11
2025-10-15,9675,9725,9250,9550,30362500,BREN,-0.012919896640826822,0.007915567282321012,1007916,-1.29,0.79
